Date,Open,High,Low,Close,Volume,Ticker
2010-01-04,138.39823906566028,141.81648176654954,137.95874344462905,140.8642578125,9135000,GS
2010-01-05,140.799205804889,143.45241180194563,140.44924842192992,143.35475158691406,11659400,GS
2010-01-06,142.73617132609195,142.73617132609195,141.41769674439752,141.8246307373047,7381100,GS
2010-01-07,141.8735243034877,145.47895481716807,141.57238459569146,144.5999755859375,8727400,GS
2010-01-08,143.50932729265583,144.40457452520585,141.57231773025075,141.8653106689453,7268100,GS
2010-01-11,142.47576651131953,142.47576651131953,138.7808103110516,139.62722778320312,7704900,GS
2010-01-12,138.36573503771194,138.7482541040754,135.94041115927604,136.5833740234375,10360100,GS
2010-01-13,136.73796692359613,138.08899087017048,135.19975680231167,137.60067749023438,11269500,GS
2010-01-14,136.72990557894218,138.9436288532359,136.08695493953184,137.1612548828125,10521400,GS
2010-01-15,136.40429645437152,136.56706758816938,133.94641135250703,134.4591522216797,10896300,GS
2010-01-19,134.29641677812506,136.24156170762444,133.3930223804871,135.8020782470703,7705300,GS
2010-01-20,134.93933979628446,136.8763375205093,133.73481842897726,136.55892944335938,8893900,GS
2010-01-21,137.77967585882118,139.17139527577936,127.59005983618877,130.92691040039062,51738300,GS
2010-01-22,129.15270142447028,130.01539942742906,123.91139006463898,125.43331909179688,30175600,GS
2010-01-25,127.069279799281,128.83537277225312,125.74267030686629,126.1333236694336,17877000,GS
2010-01-26,126.07634370038458,127.37039134120381,122.64995262885513,122.79645538330078,15985900,GS
2010-01-27,122.69058631670357,124.46481238342146,120.67219739547845,123.30098724365234,19899000,GS
2010-01-28,125.52285803560181,126.31231098829316,122.03950399262234,124.75782012939453,16160700,GS
2010-01-29,125.69384156901248,126.05194566306724,120.29788993622107,121.03851318359375,18502800,GS
2010-02-01,121.93371565813538,126.35301315237224,121.43725565721618,124.62761688232422,12980800,GS
2010-02-02,125.05081426392641,128.1842110572258,125.05081426392641,127.72844696044922,17246600,GS
2010-02-03,128.52610981653208,130.17012763544335,127.86687832986775,127.96453857421875,16785200,GS
2010-02-04,126.36934757508293,127.01229813481963,122.44649599970832,122.63368225097656,18895000,GS
2010-02-05,122.74760279971862,125.71008242824227,121.16054994055305,125.4659194946289,18759200,GS
2010-02-08,125.55543181241606,125.82400976826925,122.74758942833836,122.97547149658203,10257300,GS
2010-02-09,124.27767111388424,124.95318320717327,121.79537063098914,124.10676574707031,14017300,GS
2010-02-10,124.33462650230734,126.43440757888142,123.51261181709008,125.03455352783203,10555300,GS
2010-02-11,125.66121965211653,126.4099891728131,123.91140834410594,125.37637329101562,11163400,GS
